Fernseher;de;Flimmerkesten;Flimmerkessen;
Feiertag;de;Hìldai;Hìldoagen;(kirchl.)
Feuerwehr;de;Faiervweer;Faiervweern;
Feuerwehrmann;de;Faiervweerman;Faiervweerliid'n;
Finger;de;Finger;Fingern/-s;
Fisch;de;Fesk;Fesken;
Fischkutter;de;Feskkuider;Feskkuiders;
Flasche;de;Böddel;Böddeler;
Fledermaus;de;Fleddermüis;Fleddermüis;
fliegen;-;fliig;-;
Fliege;de;Fliigen;Fliigen;
Fliegenbogen;de;Flintspeegel;Flintspeegeler;
Flügel;de;Olik;Oliken;
Flugplatz;de;Fluchplofs;Fluchplötze;
Flugzeug;de;Flidder;Flidderflidders;
Flugzeug;de;Fligger;Fliggerfliggers;
Flur;de;Ioaln;Ioain;
Fluss;de;Flus;Flüse;
Fohlen;de;Füll;Füllen;sg: (fükk), pl: (fükken)
folgen;-;folg;-;
Form;de;Skek;Skekken;
Fotoapparat;de;Fotoapperoot;Fotoapperoaten;
Fotograf;de;Fotograaf;Fotograawen;
Frachter;deät;Frachskep;Frachskeppen;
Frau;deät;Wüf;Wüfen;
Freitag;de;Fraîdai;Fraîdain;
Friseur;de;Potsder;Potsders;
frisch;-;fresk;-;
Frosch;de;Pog;Poggen;
Frühling;deät;Feedjoar;Feedjoarn;
Fuchs;de;Fuks;Fuksen;
Fuchswelpe;de;Iet(t);Iet(t)i;
Fuchswelpe;de;djong Fuks;djong Fuksen;
Füller;de;Füller;Füllers;
fünf;-;föw;-;
fünfzehn;-;föftain;-;
Fuß;de;Fut;Futten;
Fußball;deät;Fútboalspeln;-;
Fußball;deät;Skruppen;-;
Gabel;de;Goabel;Goabeler;
Gans;de;Gus;Guus;
Garten;de;Goard;Goarder;
Geburtstag;de;Gebuursdai;Gebuursdoagen;
Geburtstagskarte;de;Gebuursdaiskoort;Gebuursdaiskoorten;
Geburtstagstorte;de;Gebuursdaistoort;Gebuursdaistoorten;
Gefäß;-;Pot(ät)s(ät);Pot(ät)scher;(kleiner Topf)
Gegensatz;-;Djindeel;Djindeeln;
gehen;-;gung;-;(unreg.)
gelb;-;giil;-;
Geldbeutel;de;Knüpper;Knüppers;
Gemüse;-;Greenhaiten;-;*
Geschäft;de;Loader;Loadens;
Geschenk;deät;Geskenk;Geskenken;
Geschirrtuch;deät;Feetduuk;Feetduker;
Gesicht;deät;Gesecht;Gesechter;
Gewehr;de;Bolt;Bolten;
Gips;de;Binterken;Binterkenkon'n;(verband), (ü)
Giraffe;de;Giraf;Giraffen;
Glas;de;Glaas;Glees;
Goldfisch;de;Gulfesk;Gulfesken;
Gorilla;de;Gorilla;Gorillas;
graben;-;greow;-;(unreg.)
Grapefruit;deät;Gaas;Gaasfruits;
grau;-;groo;-;
groß;-;groot;-;
Großmutter;deät;Oot;Ooten;
Großmutter;deät;Ooti;Ootis;(-ii)
Großvater;de;Grootfoor;Grootfoorn;
grün;-;green;-;
gucken;-;luuke;-;
Gurke;de;Gùrk;Gùrken;
Gürtel;de;Gùrtel;Gùrteler;
Güterzug;de;Gùtertsch;Gùtertschzöge;
Hahn;de;Heen;Heener;
Halbmond;de;Hulwmuun;Hulwmuun'n;
Hals;de;Hals;Halsen;
Halskette;de;Halskeed;Halskeed'n;
Hamburger;de;Håmburger;Håmburgers;
Hamster;de;Hamster;Hamsters;
Hand;de;Hön;Hön'n;
Handschuh;de;Wanten;Wanten;
Handtasche;de;Hönskrap;Hönskrappen;
Handtuch;deät;Hönnduuk;Hönnduker;
Harke;de;Riiw;Riiwen;
Harke;de;Intlandskoffel;Intlandskoffeler;(Schuffel)
hart;-;har;-;
Hase;de;Slof;Slofen;
Haustier;deät;Hüsdiir;Hüsdiiren;
Hecke;de;Hek;Hekken;
Heftzwecke;de;Wants;Wansen;
heiß;-;heat;-;
Heizkörper;de;Hettung;Hettungen;
Helgoländisch;deät;Halunder;-;(halùn(d)ö)
hell;-;heil;-;
Helm;de;Helm;Helmen;
Hemd;de;Hemt;Hemter;sg: (hamp), pl: (hömtö)
Herde;de;Huurd;Huurden;
Herbst;de;Harrows;Harrows;
Heuboden;de;Fodderbookem;Fodderbookemer;
Heuschrecke;de;Fodderhumpler;Fodderhumpler;
hinfahren;-;plaffoal;-;(unreg.)
Hirsch;de;Moos;Moosen;
Hirse;de;Hirsch;Hirsche(n);
Hobel;de;Höwwel;Höwweler;
hoch;-;hoogo;-;
Hocker;de;Hokker;Hokkers;
Holzlöffel;de;Holen Boai;h. Boain;
German Noun;Halunder Article;Noun Halunder;Plural Halunder;Additional Info
Holzlöffel;de;Holen Boai;h. Boain;
Honig;deät;Hönnung;-;
Hose;de;Brek;Brekken;
Hotel;deät;Hotel;Hotels;
Hubschrauber;de;Hüiskiiuwer;Hüiskiiuwers;
Hügel;de;Halle;Hallen;
Huhn;de;Huun;Huuner;
Hühnerstall;de;Hùnnerhok;Hùnnerhoken;
Hund;de;Hùn;hoken;
Hundehütte;de;Hùnnerhok;Hùnnerhoken;
Hündin;de;Hùnnerliin;Hùnnerliin'n;
Hürden;de;Hepske;-;
Hut;de;Hud;Hudder;
Igel;de;Iigeler;Iigeler;
Insel;deät;Eelun;Eelun'n;Synonyms: Jòng, Allun
Jacke;de;Djak;Djakken;
Jahreszeit;de;Djoarstid;Djoarstiden;
Jahrmarkt;de;Djoarmarket;-;
Jalousie;de;Jalusii;Jalusiin;
Jeans;-;Jeans;-;
jogen;deät;Jogen;-;(das)
Joghurt;deät;Joghurt;-;
Jongleur;de;Künstenhudder;Künstenhudders;
Jude;de;Judo;-;
Junge;de;Djong;Djongen;
Kachel;de;Aster;Asters;(Wandfliese)
Kaffee;deät;Koffi;-;
Kakao;deät;Kakao;-;
Kalb;deät;Kallefken;Kallefkener;
Kalender;de;Kalender;Kalenders;
kalt;-;kuul;-;
Kamel;de;Kameel;Kameeln;
Kamin;de;Kamein;Kameinen;
Kanal;de;Kanoal;Kanoain;
Kanarienvogel;de;Kanoariifink;Kanoariifinken;
Känguruh;deät;Känguru;Kängurus;
Kaninchen;deät;Kaninken;Koninken(er);
Kanu;deät;Paddelbooat;Paddelbooats;
Kapelle;deät;Müsikbooat;Müsikbooats;
Karate;deät;Karate;-;
Karotte;de;Wörtel;Wörteler;(wöttel)
Karte(n);de;Koort;Koorten;
Kartoffel;de;Kartüffel;Kartüffeler;alt. Kantüffel, de
Kartoffelbrei;deät;Kartüffelbrai;-;
Karpfen;de;Kaaros;-;
Karussell;de;Karusel;Doosen Karusels;
Käse;deät;Siis;Stekken Siis;
Kasse;de;Kassen;Kassen;
Kassette;de;Kasset;Kassetten;
Kätzchen;de;letj Kat;letj Katter;
Kater;de;Kater;Katers;
Kaulquappe;de;letj Pog;letj Poggen;
Kegel;de;Keegel;Keegeler;
Kehricht;de;Fuulskoffel;Fuulskoffeler;
Keks;de;Keäks;Keäkse(n);
Kellner;de;Ibringer;Ibringers;
Kerze;deät;Leächt;Leächter;
Kessel;de;Setteler;Setteler;(ö)
Ketchup;deät;Ketchup;-;
Kieselstein;de;Singel;Singeler;
Kinder;deät;Kin;-;
Kindergeburtstag;de;Kinnergebuursdai;Kinnergebuursdoagen;
Kinderwagen;de;Kinnerwain;Kinnerwains;
Kino;deät;Kino;Kinos;
Kirsche;de;Kasbeer;Kasbeern;
Kissen;de;Peel;Peeln;
Klavier;deät;Klawiir;-;
Klebstoff;deät;Pek;-;
Kleid;deät;Kleed;Kleeten;
Kleiderhaken;de;Tschichhook;Tschichhooken;
Kleiderschrank;de;Kleerskaap;Kleerskaapen;
Kleidung;-;lleft;-;
klettern;-;klettern;-;(das)
Knie;de;Knäbean;Knäbeaner;
knochen;-;knochen;-;
Knopf;deät;Knop;Knoppen;
Knopfloch;deät;Knopgat;Knopgeet;
kochen;-;kok;-;
Kochtopf;de;Kroch;Krochen;
Köchin;de;Kök;Köken;
Koffer;de;Koffer;Koffers;
Kofferraum;de;Kofferrüm;Kofferrümen;
Kohlkopf;de;Too Kuudi;Topper Küüdi;
Kommode;de;Kommood;Kommood'n;
Kontrollturm;de;Komtrolltürem;Komtrolltüremer;
Kopf;de;Head;Heäds;
kopfüber;-;kopkissen;-;
Korb;de;Kùrrow;Kùrrower;
Kostüm;deät;Uuntoakeltschich;-;(Maskerade)
Kran;-;kroan;-;
Krankenhaus;deät;Kroankenhüs;Kroankenhüisler;
Krankenpfleger;de;Kroankenpleeger;Kroankenpleegers;
Krankenwagen;de;Kroankenwain;Kroankenwains;
Kreide;de;Stik Kriit;Stikken Kriit;
Kreis;de;Krans;Kransen;
kriechen;-;kreep;-;(unreg.)
Krokodil;de;Krokodiil;Krokodiiln;
Kröte;de;Krööt;Krööten;
Krücke;de;Krik;Kriken;
Kuh;de;Kee;Keekens;
Kühlschrank;de;Keelskaap;Keelskaapen;
Küken;deät;Sikken;Sikken;
Künstlerin;deät;Künstlermoaler;Künstlermoalers;
Kürbis;deät;Kürbis;Kürbisse(n);
kurz;de;Kùrt;-;(k(ü)tt)
lila;-;lila;-;
Lineal;de;Linjoal;Linjoain;
Lippe;de;Lep;Leppen;
Loch;deät;Geet;Geeten;
Lokführer;de;Lokfeerer;Lokfeerers;
Lokomotive;de;Lok;Loks;
Löwe;de;Leewen;Leewen;
Löwenjunges;de;letj/djong Leewen;letj/djong Leewen;
Luftballon;de;Lochballong;Lochballongs;
Mädchen;deät;Foamel;Foameler;
Malta;de;Moaler;Moalers;
Malkasten;de;Moalkes;Moalkessen;
Malstift;de;Farrowstift;Farrowstiften;
Mandarine;de;Mandariin;Mandariin'n;
Manslid;de;Manslid;-;
Mantel;de;Fuuremt;Fuuremter;(-mp)
Marienkäfer;de;Marienkefer;Marienkefers;
Marionette;deät;Tochdook;Tochdookers;
Markt;de;Market;Markets;
Marmelade;deät;Marmeload;-;
Maske;de;Mask;Masken;
Maßband;deät;Meetemeat;Meetemeaten;
Matte;de;Mat;Matten;
Maulwurf;de;Mülwarp;Mülwarpen;
Maus;de;Müis;Miis;
Mechaniker;de;Mechaniker;Mechanikers;
Medizin;deät;Meditsiin;Meditsiins;
Meer;de;See;See'n;
Meerschweinchen;deät;Meerswiinnek;Meerswiinneken;(ü)
Mehl;de;Meel;-;
Melone;de;Meloon;Meloon'n;
Messer;de;Knüf;Kniiwer;
Mettwurst;de;Buurmart;Buurmarter;
Metzger;de;Sloachter;Sloachters;
Milch;deät;Molk;-;
Mittagessen;deät;Meddai;-;
Mittwoch;de;Meddeiweeken;Meddeiweekenweekens;
Möhrübe;de;Wörtel;Wörtler;(möddöweeken), (wöttel)
Möhre;de;Wörtel;Wörtler;(möddöweeken), (wöttel)
Mond;de;Muun;Muun'n;
Montag;de;Mundai;Mundain;
Moped;de;Möp;Möppen;
Motor;de;Motoor;Motoorn;
Motorboot;deät;Motorbooat;Motorbooats;
Motorhaube;de;Motoorslap;Motoorslappen;
Motorrad;deät;Motorraad;Motorreäder(s);
Motte;de;Bol;Boin;
Möwe;de;Küb;Kübben;
Müll;deät;Mül;-;
Mülleimer;de;Skitömmer;Skitömmern/-s;
Mund;de;Mit;Mitten;
Mundharmonika;de;Mitorgel;Mitorgeler;
Murmel;de;Mallemer;Mallemers;
Muschel;de;Skraapskölk;Skraapskölken;(Austern-)
Mutter;de;Mem;Memmen;
Mütze;de;Kwap;Kwappen;
Nacht;de;Noach;Noachter;
Nachthemd;deät;Noachhemt;Noachhemter;(-hömp), (-hömtö)
Nachttisch;de;Noachdösk;-;
Nadel;de;Spiker;Spikers;
Nagel;de;nai;-;
Nabel;de;nobi;-;
Nase;de;Nees;Neesen;
Nashorn;de;Neehuurn;Neehuurner;
Nebel;-;Teek;-;
neu;deät;Neet;-;
Nilpferd;de;Niilhingst;Niilhingster;
Obst;deät;Oaft;-;
Ohr;deät;Uär;Uärn;
Öl;deät;Ölle;-;
Oma;deät;Oot;Ooten/Ootis;(-ii)
Onkel;de;Onkel;Onkels;
Opa;de;Grootfoor;Grootfoorn;
Orangensaft;deät;Oapelsiinsaf;-;
Oval;deät;Owoal;Owoain;
Paddel;de;Paddel;Paddeler;
Panda;de;Panda;Pandas;
Papagei;de;Papagei;Papagein;
Papier;deät;Popiir;-;
Papierkorb;de;Popiirkùrrow;Popiirkùrrower;
Papiertuch;deät;Popiirduuk;Popiirdukker;
Park;de;Park;Parks;
Pelikan;de;Pelikoan;Pelikoans;
Perle;de;Krali;Kraliiken;
Pfanne;de;Pon;Ponen;
Pfannkuchen;de;Pankuk;Pankuken;
Pfeffer;deät;Pöpper;-;
Pferd;deät;Hingst;Hingster;
Pferdestall;de;Hingststal;Hingststaller;
Pfirsich;de;Firsich;Firsiche(n);(ü)
Pflanze;de;Ploant;Ploanten;
Pflaster;deät;Ploasterskoffel;Ploasterskoffeler;
Pflaume;de;Plumm;Plummen;
Pflug;de;Pluch;Pluchen;
Pforte;de;Heek;Heeken;
Pfote;de;Pooat;Pooaten;
Pfütze;de;Platsk;Platsken;
Picknick;de;Picknick;-;
Pilot;de;Piiloot;Piilooten;
Pille;de;Pül;Püln;
Pinguin;de;Pinguin;Pinguins;
Pinsel;de;Pinsel;Pinseler;
Pizza;de;Pizza;Pizzas;
Planet;de;Planeet;Planeeten;
Plastik;de;Moors;Moorsen;
Polizei;de;Politsai;-;
Polizeiauto;de;Politsaiwain;Politsaiwains;
Polizist;de;Schandarm;Schandarms;
Pommes frites;-;Pommes frites;-;*
Pony;de;Pony;Ponies;
Popcorn;deät;Popcorn;-;
Pore;de;Poor;Pooren;
Preßlufthammer;de;Peslöchthömerk;Peslöchthömerken;
Puffer;de;Puffer;Puffers;
Pulli;de;Djumper;Djumpers;
Pult;deät;Pult;Pulten;
Puppe;de;Diijen;Diijens;
Puppenhaus;deät;Diijenhüs;Diijenhüsler;
Puste;deät;Pusel;Pusselspln;
Quadrat;de;Fearkant;Fearkanten;
Rad;deät;Raad;Reäder(s);(das)
Radfahren;deät;Raadfoaren;-;(das)
Radiergummi;deät;Radürgummi;Radürgummis;
Rakete;deät;Raket;Raketten;
Rasen;de;Gaars;-;(ö)
Rasenmäher;de;Gaarsmaier;Gaarsmaiers;
Rasensprenger;de;Gaarssprenkler;Gaarssprenklers;
Rauch;de;Smöök;-;
Raupe;de;Rüpper;Rüppers;
Rechenaufgabe;deät;Reekenapgoaw;Reekenapgoawen;
Rechteck;de;Recheck;Rechecken;
Regen;de;Rain;-;(ö)
Regenbogen;de;Rainboch;Rainbochen;
Regenschirm;de;Rainskürem;Rainsküremer;
Regenwurm;de;Iinwürrem;-;
Reifen;de;Hup;Hupper;(Auto)
Reis;de;Rüs;-;
reisen;deät;Siiken;-;(das)
Reißverschluss;deät;Rid'n;-;
reiten;deät;Rid'n;-;(das)
Rennwagen;de;Renwain;Renwains;
Rentier;deät;Rentiir;Rentiirn;
Rhombus;de;Rombus;Rombussen;
Riese;de;Reesen;Reesn;
Riesenrad;deät;Riisenraad;Riisenreäder(s);
Ring;de;Ring;Ringen;
ringwerfen;de;Ringersmitten;-;(das)
Roboter;de;Roboter;Roboters;
Rock;de;Skott;Skotten;(skött'n)
Rohr;de;Rör;Rör'n;
Rollschuh;de;Rölskü;Rölskü;
Rollstuhl;de;Rölstuul;Rölstuuln;
Rollo;de;Ruloo;-;
Rücken;de;Rök;Röin;(oi)
Rucksack;de;Ream;Reamen;
Ruderboot;deät;Rudderbooat;Rudderbooats;
Rüffel;de;Rüffel;Rüffeler;
Rührei;deät;Reerai;-;
Rüssel;de;Rüssel;Rüsseler;
Rutschbahn;de;Büdderboan;Büdderboan'n;(ü)
Saal;de;Saal;Seegen;
Saat;deät;Sead;-;
Säge;de;Seeg;Seegen;
Sägemehl;deät;Seegmeel;-;
Sahne;de;Soone;-;
Salat;deät;Soloot;-;
Salz;deät;Solt;-;
Samstag;de;Senin;Seninen;(-in)
Sandale;de;Sandoal;Sandoain;
Sandburg;de;Sönbörri;Sönbörriger;
Sandkasten;de;Sünkes;Sünkessen;
Sandpapier;deät;Sünpopiir;-;
Sänger;de;Songer;Songers;
Sattel;de;Soadel;Soadeler;
Schaf;deät;Skeap;Skeap;
Schäferin;deät;Skeapharder;Skeapharders;
Schal;de;Skool;Skools;
Schalter;de;Skalter;Skalters;
Schaufel;de;Stiitjerhings;Stiitjerhings;
Schaukelpferd;de;Komeedijanpferdj;Komeedijanpferdjen;
Schauspieler;de;Komeedijan;Komeedijanten;
Schere;de;Skear;Skearn;
Scherenscherte;de;Skerrebossel;Skerrebosseler;(Remise)
Scheune;deät;Skiuw;-;(unreg.)
Schieber;de;Sküw;Hisder;
Schiene;de;Skiin;Skiins;
Schmetterling;de;Miniarrow;Miniarrowen;
Schminke;deät;Sminkfarrow;-;
Schmutz;deät;Skett;-;
Schnabel;de;Snoabel;Snoabeler;
Schnecke;de;Snai;Snain;(öi)
Schnee;de;Snai;Snain;(öi)
Schnur;de;toag;-;
Schnürsenkel;deät;Skubean;Skubeaner;
Schokolade;deät;Schokeload;-;
Schornstein;deät;Skoopsteen;Skoopsteaner;
Schrank;de;Skap;Skapen;
Schraube;de;Skruw;Skruwen;
Schraubenzieher;de;Skruwendraier;Skruwendraiers;
Schraubstock;de;Skrüw;Skrüwen;(unreg.)
Schreibtischlampe;de;Skrüwtafellamp;Skrüwtafellampen;
Schubkarre;de;Koor;Kooren;
Schublade;de;Skùt;Skùten;
Schuh;de;Sku;Sku;
Schule;de;Skuul;Skuuln;
Schulhof;de;Hingsgaars;-;
Schulter;de;Skuller;Skullern;
Schütze;de;Sköttel;Skötteler;
Schwamm;de;Swamp;Swompen;
Schwan;de;Swoan;Swoans;
schwanger;-;stört;-;(stött)
Schwanz;de;Stört;Störten;(stött)
Schwein;deät;Swin;Swin'n;
Schweinestall;de;Swinhok;Swinhoken;
Schwer;deät;swaar;-;
Schwester;de;Söster;Sösters;
schwimmen;deät;sou;-;
Schwimmbad;deät;Swembad;-;
See;de;See;See'n;(der)
See;de;See;See'n;(die)
Seehund;de;Seehùn;Seehùnen;
Seemann;de;See-man;See-liid'n;
Seestern;de;Tuftut;Tuften;
Seetang;deät;Iin;-;
Segelboot;deät;Siilerbooat;Siilerbooats;
Segeln;deät;Siiln;-;(das)
Seife;de;Seep;-;
Seil;deät;Tekken Steap;Tekken Steap;
Seilchen;de;Liin;Liin'n;
Sellerie;de;Selleri;-;(o)
Sicherheitsnetz;deät;Seekerhaitsnat;Seekerhaitsneet;
Signal;deät;Singnoal;Singnoals;
Skateboard;deät;Skiiboord;-;
Ski;de;Ski;Skiis;
Skilaufen;deät;Skiiloopen;-;(das)
Skistock;de;Skistok;Skistokken;
Skooter;de;Skooter;Skooters;
Snowboard;deät;Hees;Heesen;
Socke;de;Soken;-;
Sofa;deät;Soofa;Soofas;
Sommer;de;Sömmer;Sömmern;
Sonnabend;de;Senin;Seninen;(-in)
Sonne;de;Sen;-;
Sonnenhut;de;Senhud;Senhudder;
Sonnenschirm;de;Senskürem;Sensküremer;
Sonntag;de;Sendsdei;Sendsdein;
Spaghetti;deät;Spaghetti;Spaghettis;
Spanne;de;Spuun;Spuunen/Bissen;
Sparbüchse;de;Spaarbis;Spaarbisen;
Spiegel;de;Speegel;Speegeler;
Spiegelei;deät;Spigelai;Spigelaier;
Spielen;deät;speln;-;(ö)
Spielzeug;deät;Speltschich;-;(ö)
Spinnengewebe;deät;Spenwabtschich;-;
Sport;de;Sport;-;
Springseil;de;Springertoag;Springertoagen;
Spitze;de;Spuut;Spuuten;
Spülbecken;de;Itgus;-;
Spülbecken;de;Grupgat;-;(alt.)
Stab;de;Stok;Stokker;
Stachel;de;Stai;Stain;
Staubsauger;de;Stofsiiger;Stofsiigers;
Staubtuch;de;Stofduuk;-;
Stein;de;Steen;Steener;
Stern;de;Stear;Stearn;
Steward;de;Steward;Stewards;
Stewardess;deät;Stewardess;Stewardessen;
Stiefel;de;Steeweln;Steeweln;
Stirn;de;Boln;-;
Stock;de;Stok;Stokker;
Strand;de;Strun;Strun'n;
Straße;de;Stroat;Stroaten;
Straßenlaterne;de;Stroatenlamp;Stroatenlampen;
Straßenwalze;de;Stroatenwalts;Stroatenwaltsen;
Strauch;de;Struus;Struusen;
Stricknadel;de;oin Djak;oin Djakken;
Strickleiter;de;Strikladder;Strikladdern/-s;
Strohballen;de;Stribain;Stribain(s);
Strohhalm;de;Strihalm;Strihalme(n);
Strumpfhose;de;Heesebrek;Heesebrekken;
